,,,X,Y,,D,dy,d2y,Inst. Radius,Centr. Acc,Max Vel.,In track,optim angl,MAX VEL,In track
C,0.5,,0,7E-12,,0,14.422,0.3812,7925.89103,0.471185875,241.4844576,YES,2.749870549,253.5112061,YES
Vel,61.11111111,,0.5,7.1161625,,7.133706521,14.64035,1.960988075,1611.430765,2.317547847,108.8857284,YES,13.29204614,114.3086086,YES
Mass,740,,1,14.0445,,6.946355916,14.9142,3.499079,954.4831846,3.912659711,83.8010145,YES,21.74428889,87.97459047,YES
Fricc Coeff,0.75,,1.5,20.7877875,,6.761799044,15.24355,4.996088825,713.5521358,5.233770196,72.45660659,YES,28.08053566,76.06519241,YES
Gravity,9.81,,2,27.3488,,6.580036856,15.6284,6.4526336,595.2072996,6.274398691,66.17580908,YES,32.60266094,69.47158978,YES
Fricc force,5444.55,,2.5,33.7303125,,6.401070363,16.06875,7.869329375,530.3061352,7.042286811,62.46380864,YES,35.67336301,65.57471908,YES
Angle,6.331793775,,3,39.9351,,6.224900635,16.5646,9.2467922,494.2214897,7.556466036,60.30119908,NO,37.60641175,63.3044042,YES
Normal,7012.145865,,3.5,45.9659375,,6.051528811,17.11595,10.58563813,476.1084439,7.843943852,59.18587565,NO,38.64536014,62.13353386,YES
Fricc force O,0,,4,51.8256,,5.880956097,17.7228,11.8864832,470.5592819,7.936445087,58.83995171,NO,38.97340629,61.77038173,YES
,,,4.5,57.5168625,,5.713183775,18.38515,13.14994348,474.6812369,7.867527956,59.09709976,NO,38.72928586,62.04033663,YES
,,,5,63.0425,,5.548213206,19.103,14.376635,486.8892427,7.670261682,59.85221469,NO,38.02120923,62.83305885,YES
,,,5.5,68.4052875,,5.386045838,19.87635,15.56717383,506.3455282,7.375532504,61.03635985,NO,36.93724281,64.07617848,YES
,,,6,73.608,,5.226683208,20.7052,16.722176,532.6761916,7.010953295,62.60323538,YES,35.55241154,65.72108975,YES
